taxonKey,nubKey,taxonID,scientificName,taxonomicStatus,acceptedKey,acceptedName,acceptedTaxonRank,acceptedKingdom
160844561,2237923,60213,"Paraleucilla magna Klautau, Monteiro & Borojevic, 2004",ACCEPTED,2237923,"Paraleucilla magna Klautau, Monteiro & Borojevic, 2004",SPECIES,Animalia
160844562,3200195,60210,Padina boergesenii Allender & Kraft,ACCEPTED,3200195,Padina boergesenii Allender & Kraft,SPECIES,Chromista
160844568,3197970,60105,Colpomenia peregrina Sauv.,ACCEPTED,3197970,Colpomenia peregrina Sauv.,SPECIES,Chromista
160844569,4859796,60185,"Maritigrella fuscopunctata (Prudhoe, 1978)",ACCEPTED,4859796,"Maritigrella fuscopunctata (Prudhoe, 1978)",SPECIES,Animalia
160844578,7793616,60217,"Peneroplis arietinus (Batsch, 1791)",ACCEPTED,7793616,"Peneroplis arietinus (Batsch, 1791)",SPECIES,Chromista
160844579,2278811,60138,"Eucidaris tribuloides (Lamarck, 1816)",ACCEPTED,2278811,"Eucidaris tribuloides (Lamarck, 1816)",SPECIES,Animalia
160844580,8390568,60108,"Coscinospira hemprichii Ehrenberg, 1839",ACCEPTED,8390568,"Coscinospira hemprichii Ehrenberg, 1839",SPECIES,Chromista
160844583,7630125,60265,"Sorites orbiculus (ForsskÃ¥l, 1775)",ACCEPTED,7630125,"Sorites orbiculus (Forsskål, 1775)",SPECIES,Chromista
160844585,7441080,60038,"Amphisorus hemprichii Ehrenberg, 1839",ACCEPTED,7441080,"Amphisorus hemprichii Ehrenberg, 1839",SPECIES,Chromista
160844590,2264597,60250,"Rhopilema nomadica Galil, 1990",ACCEPTED,2264597,"Rhopilema nomadica Galil, Spanier & Ferguson, 1990",SPECIES,Animalia
160844592,7818074,60039,"Amphistegina lessonii d'Orbigny, 1832",ACCEPTED,7818074,"Amphistegina lessonii d'Orbigny, 1830",SPECIES,Chromista
160844594,7374940,60040,"Amphistegina lobifera Larsen, 1976",ACCEPTED,7374940,"Amphistegina lobifera Larsen, 1976",SPECIES,Chromista
160844595,2264530,60226,"Phyllorhiza punctata Lendenfeld, 1884",ACCEPTED,2264530,"Phyllorhiza punctata von Lendenfeld, 1884",SPECIES,Animalia
160844601,2264603,60076,"Cassiopea andromeda (ForsskÃ¥l, 1775)",ACCEPTED,2264603,"Cassiopea andromeda (Forskål, 1775)",SPECIES,Animalia
160844603,2643131,60080,"Caulerpa cylindracea Sonder, 1845",ACCEPTED,2643131,"Caulerpa cylindracea Sonder, 1845",SPECIES,Plantae
160844605,2643131,60081,"Caulerpa cylindracea Sonder, 1845",ACCEPTED,2643131,"Caulerpa cylindracea Sonder, 1845",SPECIES,Plantae
160844606,2643172,60082,Caulerpa taxifolia (M.Vahl) C.Agardh,ACCEPTED,2643172,Caulerpa taxifolia (M.Vahl) C.Agardh,SPECIES,Plantae
160844608,,60083,"Caulerpa taxifolia var distichophylla (Sonder) Verlaque, Huisman & Procacini, 2013",,,"Caulerpa taxifolia var distichophylla (Sonder) Verlaque, Huisman & Procacini, 2013",,
160844614,2317583,60143,"Eurythoe laevisetis Fauvel, 1914",ACCEPTED,2317583,"Eurythoe laevisetis Fauvel, 1914",SPECIES,Animalia
160844617,2663181,60060,Botryocladia madagascariensis G.Feldmann,ACCEPTED,2663181,"Botryocladia madagascariensis G.Feldmann, 1945",SPECIES,Plantae
160844619,2663181,60061,Botryocladia madagascariensis G.Feldmann,ACCEPTED,2663181,"Botryocladia madagascariensis G.Feldmann, 1945",SPECIES,Plantae
160844620,,60161,"Hydroides dirampha MÃ¶rch, 1863",,,"Hydroides dirampha MÃ¶rch, 1863",,
