taxonKey,taxonID,scientificName,kingdom,taxonRank
148692906,21008,Stypopodium schimperi (Kützing) Verlaque & Boudouresque,Chromista,SPECIES
148692918,20939,"Rhizosolenia calcar-avis Schultze, 1858",Chromista,SPECIES
148692921,20917,"Pseudosolenia calcar-avis (Schultze) B.G.Sundström, 1986",Chromista,SPECIES
148692922,21062,"Xiphinema brevicolle Lordello & Da Costa, 1961",Animalia,SPECIES
148692923,21063,"Xiphinema index Thorne & Allen, 1950",Animalia,SPECIES
148692924,21064,"Xiphinema italiae Meyl, 1953",Animalia,SPECIES
148692930,20794,"Meloidogyne arenaria (Neal, 1889) Chitwood, 1949",Animalia,SPECIES
148692935,20795,"Meloidogyne hapla Chitwood, 1949",Animalia,SPECIES
148692937,20694,"Globodera rostochiensis (Wollenweber, 1923) Skarbilovich, 1959",Animalia,SPECIES
148692941,20647,"Ditylenchus destructor Thorne, 1945",Animalia,SPECIES
148692948,20915,"Pseudolachlanella slitella Langer, 1992",Chromista,SPECIES
148692951,20742,"Laodicea fijiana Agassiz & Mayer, 1899",Animalia,SPECIES
148692957,20942,"Rhopilema nomadica Galil, Spanier & Ferguson, 1990",Animalia,SPECIES
148692958,20859,"Pegidia lacunata McCulloch, 1977",Chromista,SPECIES
148692960,20572,"Cassiopea andromeda (Forskål, 1775)",Animalia,SPECIES
148692963,20494,"Amphistegina lobifera Larsen, 1976",Chromista,SPECIES
148692967,20825,"Notomastus aberans Day, 1957",Animalia,SPECIES
148692970,20826,"Notomastus mossambicus (Thomassin, 1970)",Animalia,SPECIES
148692972,20816,"Neopseudocapitella brasiliensis Rullier & Amoureux, 1979",Animalia,SPECIES
148692975,20804,"Metasychis gotoi (Izuka, 1902)",Animalia,SPECIES
148692976,20965,Seiridium cardinale (W.W.Wagener) B.Sutton & I.A.S.Gibson,Fungi,SPECIES
148692988,20760,"Linopherus canariensis Langerhans, 1881",Animalia,SPECIES
2325174,21022,"Terebella ehrenbergi Gravier, 1906",Animalia,SPECIES
148692995,20886,"Pista unibranchia Day, 1963",Animalia,SPECIES
148692996,20778,Macrophomina phaseolina (Tassi) Goid.,Fungi,SPECIES
148693005,20997,"Spirorbis marioni Caullery & Mesnil, 1897",Animalia,SPECIES
7708376,20645,Dicranoweisia cirrata (Hedw.) Lindb. ex Milde,Plantae,SPECIES
148693008,20996,"Spirobranchus tetraceros (Schmarda, 1861)",Animalia,SPECIES
148693009,20719,"Hydroides heterocera (Grube, 1868)",Animalia,SPECIES
148693011,20718,"Hydroides elegans (Haswell, 1883)",Animalia,SPECIES
148693017,20544,"Branchiomma luctuosum (Grube, 1870)",Animalia,SPECIES
148693018,20591,Chaetomorpha patentiramea (Mont) Kutz.,Plantae,SPECIES
148693019,20543,"Branchiomma bairdi (McIntosh, 1885)",Animalia,SPECIES
148693025,20916,"Pseudonereis anomala Gravier, 1899",Animalia,SPECIES
148693027,20583,"Ceratonereis mirabilis Kinberg, 1865",Animalia,SPECIES
4375399,20578,Caulerpa turbinata (J.Ag.) Eubank,Plantae,SPECIES
148693029,20577,Caulerpa racemosa var. lamourouxii (Turner) Weber Bosse,Plantae,VARIETY
148693031,20576,Caulerpa racemosa (Forssk.) J.Agardh,Plantae,SPECIES
148693032,20575,"Caulerpa cylindracea Sonder, 1845",Plantae,SPECIES
148693036,20908,"Prosphaerosyllis longipapillata (Hartmann-Schröder, 1979)",Animalia,SPECIES
148693039,20679,"Eusyllis kupfferi Langerhans, 1879",Animalia,SPECIES
148693040,20720,Hypnea musciformis,Plantae,SPECIES
148693050,21013,"Synaptula reciprocans (Forsskål, 1775)",Animalia,SPECIES
148693055,20540,"Botryocladia madagascariensis G.Feldmann, 1945",Plantae,SPECIES
148693059,20834,"Ophiactis savignyi (Müller & Troschel, 1842)",Animalia,SPECIES
148693060,20523,Asparagopsis armata Harv.,Plantae,SPECIES
148693062,20833,"Ophiactis macrolepidota Marktanner-Turneretscher, 1887",Animalia,SPECIES
148693069,20519,"Aquilonastra burtoni (Gray, 1840)",Animalia,SPECIES
148693070,20898,Polysiphonia setacea,Plantae,SPECIES
148693072,21058,Womersleyella setacea (Hollenberg) R.E.Norris,Plantae,SPECIES
12194263,20896,Vertebrata spec (Hudson) Kuntze,Plantae,SPECIES
10433923,20817,"Melanothamnus sphaerocarpus (Børgesen) Díaz-Tapia & Maggs, 2017",Plantae,SPECIES
148693079,20773,"Lophocladia lallemandii (Mont.) F.Schmitz, 1893",Plantae,SPECIES
148693090,20998,"Spondylus spinosus Schreibers, 1793",Animalia,SPECIES
148693092,21023,Tetraclinis articulata (Vahl) Mast.,Plantae,SPECIES
148693095,20884,Pinus halepensis Mill.,Plantae,SPECIES
148693097,20885,Pinus pinea L.,Plantae,SPECIES
148693098,20913,"Psammacoma gubernaculum (Hanley, 1844)",Animalia,SPECIES
148693101,20687,"Fulvia fragilis (Forsskål, 1775)",Animalia,SPECIES
148693105,21056,Washingtonia filifera (Rafarin) H.Wendl. ex de Bary,Plantae,SPECIES
148693107,20876,Phoenix dactylifera L.,Plantae,SPECIES
4374764,20883,"Pinctada radiata (Leach, 1814)",Animalia,SPECIES
148693111,20781,"Malleus regula (Forsskål, 1775)",Animalia,SPECIES
148693113,20642,"Dendostrea folium (Linnaeus, 1758)",Animalia,SPECIES
148693115,20699,Halophila stipulacea (Forssk.) Asch.,Plantae,SPECIES
148693116,20643,"Dendostrea frons (Linnaeus, 1758)",Animalia,SPECIES
148693121,20634,Cyperus alternifolius L.,Plantae,SPECIES
148693122,20849,"Paratapes textilis (Gmelin, 1791)",Animalia,SPECIES
148693123,20635,Cyperus esculentus L.,Plantae,SPECIES
148693124,20688,"Gafrarium pectinatum (Linnaeus, 1758)",Animalia,SPECIES
148693128,21039,Triticum turgidum subsp. durum (Desf.) Husn.,Plantae,SUBSPECIES
148693129,20593,"Chama pacifica Broderip, 1835",Animalia,SPECIES
148693130,20592,"Chama asperella Lamarck, 1819",Animalia,SPECIES
148693133,21040,Triticum turgidum subsp. durum (Desf.) Husn.,Plantae,SUBSPECIES
6313051,21038,Triticum turgidum subsp. durum (Desf.) Husn.,Plantae,SUBSPECIES
148693138,20541,"Brachidontes pharaonis (P.Fischer, 1870)",Animalia,SPECIES
5290299,20658,Elymus repens (L.) Gould,Plantae,SPECIES
148693140,20989,Sorghum bicolor (L.) Moench,Plantae,SPECIES
148693143,21001,Stenotaphrum secundatum (Walter) Kuntze,Plantae,SPECIES
148693145,20951,Saccharum spontaneum L.,Plantae,SPECIES
148693146,21041,"Trochus erithreus Brocchi, 1821",Animalia,SPECIES
148693147,20972,Setaria verticillata (L.) P.Beauv.,Plantae,SPECIES
148693148,20971,Setaria adhaerens (Forssk.) Chiov.,Plantae,SPECIES
5290192,20865,Cenchrus longisetus M.C.Johnst.,Plantae,SPECIES
148693154,20980,"Smaragdia souverbiana (Montrouzier, 1863)",Animalia,SPECIES
148693155,20856,Paspalum distichum L.,Plantae,SPECIES
148693157,20845,Panicum miliaceum L.,Plantae,SPECIES
148693159,20755,Leptochloa mucronata (Michx.) Kunth,Plantae,SPECIES
148693160,20879,"Physella acuta (Draparnaud, 1805)",Animalia,SPECIES
148693161,20713,Hordeum vulgare L.,Plantae,SPECIES
148693162,20703,Hemarthria altissima (Poir.) Stapf & C.E.Hubb.,Plantae,SPECIES
148693164,20889,"Planorbarius corneus (Linnaeus, 1758)",Animalia,SPECIES
148693167,20791,"Melanopsis tuberculata Pavlović, 1927",Animalia,SPECIES
148693168,20654,Ehrharta erecta Lam.,Plantae,SPECIES
148693170,20651,Echinochloa colonum (L.) Link,Plantae,SPECIES
148693171,20805,"Metaxia bacillum (Issel, 1869)",Animalia,SPECIES
148693173,20657,Eleusine tristachya (Lam.) Lam.,Plantae,SPECIES
148693174,20759,"Leucotina natalensis E.A.Smith, 1910",Animalia,SPECIES
148693175,20656,Eleusine indica (L.) Gaertn.,Plantae,SPECIES
148693177,20637,Dactyloctenium aegyptium (L.) Willd.,Plantae,SPECIES
148693178,20683,"Finella pupoides A.Adams, 1860",Animalia,SPECIES
148693179,20581,Cenchrus purpureus (Schumach.) Morrone,Plantae,SPECIES
5828220,20864,Cenchrus purpureus (Schumach.) Morrone,Plantae,SPECIES
148693182,20580,Cenchrus longisetus M.C.Johnst.,Plantae,SPECIES
148693184,20530,Avena sativa L.,Plantae,SPECIES
148693185,21066,"Zafra savignyi (Moazzo, 1939)",Animalia,SPECIES
148693186,20521,Arundo donax L.,Plantae,SPECIES
148693188,21067,"Zafra selasphora (Melvill & Standen, 1901)",Animalia,SPECIES
148693191,20725,"Indothais lacera (Born, 1778)",Animalia,SPECIES
148693193,21003,Sternbergia lutea (L.) Ker Gawl. ex Spreng.,Plantae,SPECIES
148693194,20665,"Ergalatax junionae Houart, 2008",Animalia,SPECIES
148693195,20824,Nothoscordum gracile (Aiton) Stearn,Plantae,SPECIES
148693197,20631,"Cycloscala hyalina (G.B.Sowerby II, 1844)",Animalia,SPECIES
148693200,20730,Iris ×germanica L.,Plantae,SPECIES
148693202,20793,"Melibe viridis (Kelaart, 1858)",Animalia,SPECIES
5298079,20729,Iris florentina L.,Plantae,SPECIES
148693205,20686,Freesia refracta (Jacq.) Klatt,Plantae,SPECIES
148693206,20722,"Hypselodoris infucata (Rüppell & Leuckart, 1830)",Animalia,SPECIES
148693207,20697,"Goniobranchus annulatus (Eliot, 1904)",Animalia,SPECIES
148693210,20623,"Coryphellina rubrolineata O'Donoghue, 1929",Animalia,SPECIES
148693212,20481,Aloe vera (L.) Burm.f.,Plantae,SPECIES
148693213,21043,"Turbonilla edgarii (Melvill, 1896)",Animalia,SPECIES
148693216,21014,"Syrnola fasciata Jickeli, 1882",Animalia,SPECIES
148693217,20525,Asparagus officinalis L.,Plantae,SPECIES
